,popularity,min_height,max_height,min_weight,max_weight,min_expectancy,max_expectancy,grooming_frequency_value,shedding_value,energy_level_value,trainability_value,demeanor_value
Lagotto Romagnolo,99,40.64,48.26,10.886216880000001,15.875732950000002,15.0,17.0,0.2,0.2,0.6,1.0,0.6
Lakeland Terrier,147,35.56,38.1,7.71107029,7.71107029,12.0,15.0,0.4,0.2,0.6,0.6,0.6
Lancashire Heeler,,25.4,30.48,4.082331330000001,7.71107029,12.0,15.0,0.2,0.6,0.8,0.8,0.8
Lapponian Herder,,45.72,50.8,31.751465900000003,31.751465900000003,10.0,14.0,0.4,0.6,0.6,1.0,0.4
Leonberger,93,64.77,80.01,40.8233133,77.1107029,9.0,9.0,0.8,0.8,0.6,1.0,0.8
Lhasa Apso,71,25.4,27.94,5.4431084400000005,8.164662660000001,12.0,15.0,0.6,0.2,0.6,0.4,0.4
Löwchen,168,27.94,33.02,4.535923700000001,6.80388555,15.0,15.0,0.2,0.2,0.6,0.6,1.0
Maltese,37,17.78,22.86,3.17514659,3.17514659,12.0,15.0,0.8,0.2,0.6,0.6,1.0
Manchester Terrier (Standard),133,38.1,40.64,5.4431084400000005,9.979032140000001,15.0,17.0,0.4,0.4,0.6,0.8,0.6
Manchester Terrier (Toy),133,25.4,30.48,5.4431084400000005,5.4431084400000005,15.0,17.0,0.4,0.4,0.6,0.8,0.6
Mastiff,29,69.85,76.2,54.4310844,104.32624510000001,6.0,10.0,0.2,0.4,0.6,0.6,0.6
Miniature American Shepherd,34,33.02,45.72,9.071847400000001,18.143694800000002,12.0,13.0,0.8,1.0,0.8,1.0,0.8
Miniature Bull Terrier,110,25.4,35.56,8.164662660000001,12.70058636,11.0,13.0,0.2,0.4,0.8,0.4,0.6
Miniature Pinscher,70,25.4,31.75,3.62873896,4.535923700000001,12.0,16.0,0.2,0.2,0.6,0.4,0.6
Miniature Schnauzer,19,30.48,35.56,4.9895160700000005,9.071847400000001,12.0,15.0,1.0,0.2,0.6,1.0,0.6
Mountain Cur,,40.64,66.04,13.6077711,27.2155422,10.0,13.0,0.2,0.6,1.0,0.2,0.4
Mudi,,38.1,46.99,8.164662660000001,13.15417873,12.0,14.0,0.2,0.4,1.0,1.0,0.4
Neapolitan Mastiff,102,60.96,78.74,49.895160700000005,68.0388555,7.0,9.0,0.4,0.6,0.6,0.2,0.2
Nederlandse Kooikerhondje,150,35.56,43.18,9.071847400000001,13.6077711,12.0,15.0,0.4,0.6,0.6,1.0,0.4
